subs,class,EEAct,ERAct,RRAct,EEActUnsigned,ERActUnsigned,RRActUnsigned,subsMem,RT,eHippLeft,eHippRight,rHippLeft,rHippRight,encSess,retSess,Item,ClassSpecVoxVals,OtherClassSpecVoxVals,IntensityActDiff,NrmIntensityActDiff,globalSignal,EERSA_CorClass,EERSA_IncClass,ERRSA_CorClass,ERRSA_IncClass,eHippLeftUnstd,eHippRightUnstd,rHippLeftUnstd,rHippRightUnstd,EEHippOnlyAct,ERHippOnlyAct,EIntensity_ActCor,EIntensity_ActInc,EIntensity_ActDiff
1,2,-1.4452,1.3205,2.5867,1.4452,-1.3205,-2.5867,1,1.5381,-0.20383,0.99863,-0.33534,-0.6929,1,3,ACADEMIC,-1.692,-0.058748,-1.2217,-0.33165,1.0366,0.078992,-0.013707,-0.045527,-0.026407,0.3955,0.74902,0.48411,0.46979,1.9263,-0.13193,1.2328,-0.296,1.5288
1,1,1.186,1.1226,-0.88912,1.186,1.1226,-0.88912,1,1.3787,1.1435,0.2306,0.39499,1.1745,3,3,FLAT,0.046786,0.54658,-0.28063,0.080765,-0.31992,0.26997,-0.06972,0.10062,0.02393,0.25594,-0.034687,-0.088629,0.019664,1.3345,0.34335,0.55141,-0.63182,1.1832
1,1,0.81896,0.76305,-0.53218,0.81896,0.76305,-0.53218,0,1.8064,-0.064026,1.1933,0.37864,0.43618,2,3,SCANDALOUS,0.27,-0.7963,0.65977,-0.35501,-0.081243,0.36364,-0.078094,0.019587,0.04669,0.050951,0.36739,0.046523,0.0050347,-0.11615,-2.7873,1.1387,-0.94167,2.0804
1,1,3.5852,0.92318,-0.02136,3.5852,0.92318,-0.02136,1,1.4743,-1.2109,-1.5427,1.273,1.0624,6,3,BRITTLE,0.30551,-0.3294,0.41675,-0.42363,-0.026582,0.23103,-0.068939,0.038873,0.065351,-0.77108,-0.88311,0.35334,0.18379,1.5909,-2.8683,-0.045849,-2.0294,1.9836
1,1,-0.39012,0.45174,-3.3921,-0.39012,0.45174,-3.3921,0,1.7021,1.2224,1.3887,0.17934,0.73587,3,3,NAUTICAL,0.77312,-0.082609,0.62135,-0.016704,-0.83996,-0.03724,-0.039106,0.10393,0.051916,0.4959,0.50392,-0.4602,-0.41792,-0.22646,1.3743,-0.3658,0.35484,-0.72065
1,2,0.76372,-0.2504,-2.4804,-0.76372,0.2504,2.4804,1,2.1148,0.63528,1.3794,1.8115,1.4652,6,3,DEAD,-0.59494,-1.7998,0.5969,-0.084787,-0.36492,0.049847,0.060423,-0.051788,-0.1711,0.24783,0.41096,0.31877,0.056874,-1.1026,0.5634,0.28287,0.95394,-0.67107
1,1,1.3864,1.1766,-0.46545,1.3864,1.1766,-0.46545,1,1.9505,-1.4627,-0.9794,0.24647,-0.61562,4,3,TRASHY,0.70058,0.099718,0.46234,1.6868,0.04503,0.12801,-0.0074451,0.017977,0.0040336,-0.35527,-0.18946,0.079978,-0.15451,-1.4333,0.92524,0.71524,-0.34298,1.0582
1,2,-1.2374,1.2303,4.0454,1.2374,-1.2303,-4.0454,1,2.2182,-0.88467,0.0726,-0.087564,0.37288,1,3,SURGICAL,-1.3279,2.0834,-2.1874,-0.39629,1.0355,0.047419,-0.067807,-0.0011615,-0.024672,0.2207,0.53705,0.55837,0.70941,0.06937,0.21221,0.05597,-0.16561,0.22158
1,2,-2.8056,-0.093977,-0.63654,2.8056,0.093977,0.63654,1,1.4301,-0.22874,-0.57454,-1.7839,-0.88716,5,3,EERIE,0.6303,0.35357,0.26373,-0.027517,-0.54874,0.1294,-0.31408,0.010946,0.02102,0.13009,0.062781,-0.88842,-0.59838,2.2437,-0.86461,1.7979,-2.2446,4.0425
1,2,-1.1576,-0.42116,-0.1432,1.1576,0.42116,0.1432,1,1.3866,1.5312,0.7816,1.4426,0.20356,4,3,SEASICK,-0.9362,-0.19145,-0.58426,-0.24152,0.68621,0.0284,0.057969,-0.049565,-0.13989,0.8186,0.6174,0.82047,0.44643,-1.4131,-1.0319,0.38414,0.19121,0.19293
1,2,-0.94882,0.43932,0.55423,0.94882,-0.43932,-0.55423,1,1.9425,-0.81222,0.46886,-0.24318,-0.44717,3,3,EPIC,-1.2529,0.28467,-1.0939,-0.37736,0.66615,0.066417,-0.093572,-0.022751,-0.090397,0.15548,0.54086,0.2941,0.2853,2.5981,0.85369,1.3323,0.37323,0.95906
1,2,-1.801,0.74415,-1.9967,1.801,-0.74415,1.9967,1,1.732,-0.040029,-1.3476,0.1952,1.7386,4,4,FRAGILE,-1.3638,0.61506,-1.3669,0.28324,-0.32033,-0.021137,0.020071,0.040723,0.054782,-0.031003,-0.37597,-0.1501,0.14833,1.1636,0.47463,0.32088,-1.6313,1.9521
1,2,-0.29564,1.4506,1.6204,0.29564,-1.4506,-1.6204,1,1.855,0.6206,-1.2259,-0.25084,-0.82473,2,4,SACRED,-1.8958,0.91599,-1.9353,-1.3287,0.42751,0.046646,-0.14885,-0.042568,-0.042455,-0.11366,-0.64933,0.15157,0.044666,2.4427,0.65757,0.74505,-0.89114,1.6362
1,2,-1.1948,0.9744,-0.21917,1.1948,-0.9744,0.21917,1,1.9469,0.9681,1.9909,0.0025253,0.77873,2,4,STATUESQUE,-1.507,-0.38724,-0.89487,0.1486,-0.38954,0.13678,-0.15995,0.045328,0.12265,0.83002,1.1127,-0.24972,-0.11589,1.2148,-0.57356,1.0973,-0.488,1.5853
1,1,2.8214,1.5329,-1.9347,2.8214,1.5329,-1.9347,0,1.5988,1.5375,0.99871,1.431,0.96873,5,4,SPOOKY,-0.13698,-3.1823,1.7343,-0.16983,-0.53926,0.21282,-0.059826,-0.14769,-0.06089,0.42196,0.21985,0.098695,-0.16966,1.4646,3.3419,1.2595,-0.81655,2.076
1,2,-2.4528,0.94951,-0.30327,2.4528,-0.94951,0.30327,1,1.4754,-3.6758,-2.6779,0.70092,0.33583,5,4,HIGH,1.5168,1.1349,0.47077,-0.22871,-0.4224,0.12305,-0.20231,0.023397,0.037517,-1.0264,-0.66238,-0.055269,-0.23825,0.89715,-0.12167,1.9437,-1.4262,3.3699
1,1,1.2756,2.096,-0.39808,1.2756,2.096,-0.39808,1,1.275,-0.70198,0.018092,0.69192,-0.05957,6,4,CELESTIAL,0.89817,-1.5184,1.5425,-1.0198,-0.033519,0.24117,-0.057556,-0.053589,-0.019353,-0.18936,0.0046644,0.17076,-0.077747,-0.4831,-0.079415,0.72998,-0.24281,0.97279
1,1,1.5007,1.2848,0.9795,1.5007,1.2848,0.9795,1,1.1829,0.83936,-0.10973,2.5034,1.7221,4,4,CRAZY,1.5581,-0.6981,1.5589,0.50012,0.30306,0.33549,-0.041379,-0.13361,-0.04518,0.16097,-0.12982,0.92391,0.54722,3.2116,2.458,1.8938,-0.41642,2.3102
