RTs,subs,class,EncAct,subsMem,ECent
1.744,3,FALSE,1.1404,2,0.26172
1.9472,3,FALSE,1.3617,1,-0.28472
1.3606,3,TRUE,-0.25987,2,0.2885
1.8602,3,FALSE,0.061083,2,0.17038
1.76,3,FALSE,-1.1107,2,-0.060755
2.2198,3,FALSE,0.98994,2,-0.049683
1.9918,3,FALSE,-0.87718,2,-0.32177
1.5295,3,TRUE,-0.033934,2,0.1539
1.2847,3,FALSE,-0.36888,1,0.13492
1.1364,3,TRUE,-0.033293,2,0.065299
1.1089,3,FALSE,-1.3802,2,-0.038759
1.6169,3,TRUE,1.7554,2,-0.10725
1.3006,3,FALSE,-0.38637,2,-0.13098
1.4964,3,FALSE,0.45975,2,0.2539
1.6609,3,TRUE,2.1535,1,0.28669
2.1848,3,FALSE,0.78319,2,0.053761
1.1008,3,FALSE,-0.20344,1,0.15066
1.6644,3,FALSE,1.0122,2,0.10929
1.533,3,TRUE,0.35011,2,0.053814
1.4409,3,FALSE,-0.45479,2,-0.21528
1.3166,3,FALSE,1.9195,2,0.42865
1.7844,3,FALSE,1.7174,2,0.1451
1.2051,3,TRUE,-0.90084,2,0.24169
1.4969,3,FALSE,0.56777,2,-0.10623
1.3005,3,TRUE,1.1281,2,-0.037575
1.4565,3,TRUE,3.1094,2,0.21771
0.98482,3,TRUE,2.7756,2,0.081358
1.2767,3,TRUE,1.8456,2,-0.095319
1.9012,3,TRUE,0.90173,1,-0.088283
1.2844,3,TRUE,2.5791,2,0.11864
2.025,3,FALSE,0.35578,2,-0.32673
1.277,3,TRUE,1.4071,2,0.078348
1.5703,3,FALSE,0.22227,1,-0.48592
1.2373,3,FALSE,1.9878,2,0.0023736
1.4492,3,FALSE,-1.4151,2,-0.017697
1.2976,3,TRUE,0.30893,2,0.27572
2.0215,3,FALSE,1.3226,2,0.3895
1.1532,3,TRUE,1.3842,2,0.20549
0.98984,3,FALSE,-0.4619,1,-0.036681
2.0095,3,TRUE,-2.3562,1,0.52644
1.4375,3,FALSE,-1.8291,2,-0.21747
1.8732,3,FALSE,0.76274,2,0.28199
1.8056,3,TRUE,1.5242,1,0.4002
1.7135,3,FALSE,0.35934,2,0.31896
1.1573,3,TRUE,3.0117,2,-0.051646
1.5852,3,FALSE,-0.34109,2,0.071305
1.6537,3,FALSE,1.7028,2,0.14863
1.5253,3,FALSE,0.32601,2,0.21121
1.5371,3,TRUE,0.24832,2,0.31404
1.5417,3,TRUE,2.7481,2,-0.083943
1.5695,3,TRUE,-0.50837,2,0.3235
2.1813,3,FALSE,0.39595,2,-0.038406
1.9213,3,TRUE,1.3326,1,-0.17678
1.7976,3,TRUE,3.0849,1,0.039555
1.5774,3,TRUE,2.6929,2,0.29707
